REQUEST,Goods,oracle code,,ITEM DESCRIPTION,ITEM CATEGORY,QTY,price,JOB NO,total-amount,STATUE,ORDER,,
REQ2500008621,Goods, 10009123,,"PRESSURE PUMP HD9 / 80L, 240V / 50Hz, MAKE: KRANZLE, ORIGIN: GERMANY",MECHANICAL EQUIPMENT,5,2270,4378M,11350,Approved,PO2500004637,,
REQ2500008181,Goods, 10015330,,"COOKER (STOVE) TABLE TYPE WITH 3 BURNER, MODEL NO. RV-310, MAKE: RINNAI",CIVIL MATERIAL,6,225,4378M,1350,Approved,PO2500004696,,
REQ2500008491,Goods, 10047648,,"EXTENSION REEL 13A 50MTR, 3 GANG, GALVANIZED STEEL BODY, MAKE: KL STAR",ELECTRICAL MATERIAL,5,150,4378M,750,Approved,770292,,
REQ2500008181,Goods, 10045687,,"MICROWAVE OVEN 25LTR, MAKE: PANASONIC",ELECTRICAL MATERIAL,6,375,4378M,2250,Approved,PO2500004696,,
REQ2500008181,Goods, 10015395,,"WASHING MACHINE, FULLY AUTOMATIC FRONT LOAD, CAPACITY: 6KG, MODEL NO. SGW6200, MAKE: SUPER GENERAL",ELECTRICAL EQUIPMENT,6,700,4378M,4200,Approved,PO2500004696,,
REQ2500008634,Goods, 10004978,,"TEXTLINER, COLOUR: YELLOW, CODE:15 48 07, MODEL:1548, REFILL, MAKE: FABER-CASTELL, ORIGIN: GERMANY",STAIONERY,4,2.067111009,4378M,8.268444036,Approved,770303,,
REQ2500008634,Goods, 10004992,,"TEXTLINER, COLOUR: BLUE,CODE:15 48 51, MODEL: 1548, REFILL, MAKE: FABER-CASTELL, ORIGIN: GERMANY",STAIONERY,4,1.9080632,4378M,7.6322528,Approved,770303,,
REQ2500008634,Goods, 10004969,,"PAPER A4, 80GSM, WHITE, PACKING: 5 REEM / CTN, BRAND: DOUBLE A",STAIONERY,4,63.75,4378M,255,Approved,770303,,
REQ2500008634,Goods, 10005057,,"PAPER A3, 80GSM, PACKING: 5 REEM / CTN, BRAND: DOUBLE A",STAIONERY,2,26.5,4378M,53,Approved,770303,,
REQ2500008634,Goods, 10005059,,"CALCULATOR, MODEL JS40B, MAKE: CASIO",STAIONERY,4,84.5,4378M,338,Approved,770303,,
